Title,Year,Citations
Accurate macromolecular structures using minimal measurements from X-ray free-electron lasers,2014,21
Accurate macromolecular structures using minimal measurements from X-ray free-electron lasers,2015,30
Accurate macromolecular structures using minimal measurements from X-ray free-electron lasers,2016,28
Accurate macromolecular structures using minimal measurements from X-ray free-electron lasers,2017,21
Accurate macromolecular structures using minimal measurements from X-ray free-electron lasers,2018,18
Accurate macromolecular structures using minimal measurements from X-ray free-electron lasers,2019,12
Accurate macromolecular structures using minimal measurements from X-ray free-electron lasers,2020,12
Accurate macromolecular structures using minimal measurements from X-ray free-electron lasers,2021,7
Accurate macromolecular structures using minimal measurements from X-ray free-electron lasers,2022,8
Accurate macromolecular structures using minimal measurements from X-ray free-electron lasers,2023,10
Accurate macromolecular structures using minimal measurements from X-ray free-electron lasers,2024,7
Accurate macromolecular structures using minimal measurements from X-ray free-electron lasers,2025,9
The DIALS framework for integration software,2014,1
The DIALS framework for integration software,2015,4
The DIALS framework for integration software,2016,18
The DIALS framework for integration software,2017,22
The DIALS framework for integration software,2018,19
The DIALS framework for integration software,2019,10
The DIALS framework for integration software,2020,4
The DIALS framework for integration software,2021,3
The DIALS framework for integration software,2022,3
The DIALS framework for integration software,2023,2
The DIALS framework for integration software,2024,5
The DIALS framework for integration software,2025,2
New Python-based methods for data processing,2013,1
New Python-based methods for data processing,2014,18
New Python-based methods for data processing,2015,22
New Python-based methods for data processing,2016,18
New Python-based methods for data processing,2017,14
New Python-based methods for data processing,2018,12
New Python-based methods for data processing,2019,14
New Python-based methods for data processing,2020,12
New Python-based methods for data processing,2021,6
New Python-based methods for data processing,2022,8
New Python-based methods for data processing,2023,6
New Python-based methods for data processing,2024,14
New Python-based methods for data processing,2025,4
Determination of Patterson group symmetry from sparse multi-crystal data sets in the presence of an indexing ambiguity,2017,1
Determination of Patterson group symmetry from sparse multi-crystal data sets in the presence of an indexing ambiguity,2018,1
Determination of Patterson group symmetry from sparse multi-crystal data sets in the presence of an indexing ambiguity,2019,3
Determination of Patterson group symmetry from sparse multi-crystal data sets in the presence of an indexing ambiguity,2020,6
Determination of Patterson group symmetry from sparse multi-crystal data sets in the presence of an indexing ambiguity,2021,2
Determination of Patterson group symmetry from sparse multi-crystal data sets in the presence of an indexing ambiguity,2022,6
Determination of Patterson group symmetry from sparse multi-crystal data sets in the presence of an indexing ambiguity,2023,7
Determination of Patterson group symmetry from sparse multi-crystal data sets in the presence of an indexing ambiguity,2024,5
Determination of Patterson group symmetry from sparse multi-crystal data sets in the presence of an indexing ambiguity,2025,4
Background modelling of diffraction data in the presence of ice rings,2017,1
Background modelling of diffraction data in the presence of ice rings,2018,3
Background modelling of diffraction data in the presence of ice rings,2019,1
Background modelling of diffraction data in the presence of ice rings,2020,1
Background modelling of diffraction data in the presence of ice rings,2021,3
Background modelling of diffraction data in the presence of ice rings,2022,3
Background modelling of diffraction data in the presence of ice rings,2023,4
Background modelling of diffraction data in the presence of ice rings,2024,1
Background modelling of diffraction data in the presence of ice rings,2025,1
How to use DIALS to process chemical crystallography 3D ED rotation data from pixel array detectors,2025,1
A standard data format for 3DED/MicroED,2024,2
A standard data format for 3DED/MicroED,2025,2
Electron diffraction data processing with DIALS,2018,3
Electron diffraction data processing with DIALS,2019,23
Electron diffraction data processing with DIALS,2020,21
Electron diffraction data processing with DIALS,2021,35
Electron diffraction data processing with DIALS,2022,20
Electron diffraction data processing with DIALS,2023,14
Electron diffraction data processing with DIALS,2024,15
Electron diffraction data processing with DIALS,2025,9
Processing serial crystallographic data from XFELs or synchrotrons using the cctbx. xfel GUI,2019,1
Processing serial crystallographic data from XFELs or synchrotrons using the cctbx. xfel GUI,2020,2
Processing serial crystallographic data from XFELs or synchrotrons using the cctbx. xfel GUI,2021,3
Processing serial crystallographic data from XFELs or synchrotrons using the cctbx. xfel GUI,2022,4
Processing serial crystallographic data from XFELs or synchrotrons using the cctbx. xfel GUI,2023,8
Processing serial crystallographic data from XFELs or synchrotrons using the cctbx. xfel GUI,2024,6
Processing serial crystallographic data from XFELs or synchrotrons using the cctbx. xfel GUI,2025,4
